disputed_amount_missing,disputed_amount,quantity_missing,quantity,account_age_days_missing,account_age_days,previous_orders_missing,previous_orders,previous_chargebacks_missing,previous_chargebacks,previous_returns_missing,previous_returns,previous_failed_payments_missing,previous_failed_payments,avg_order_value_missing,avg_order_value,claim_delay_days_missing,claim_delay_days,days_to_deliver_missing,days_to_deliver,device_shared_accounts_missing,device_shared_accounts,ip_geo_distance_km_missing,ip_geo_distance_km,txns_last_24h_missing,txns_last_24h,has_tracking,device_seen_before,shipping_billing_match,chargeback_reason__product_not_received,chargeback_reason__unauthorized_transaction,chargeback_reason__product_not_as_described,payment_method__credit_card,payment_method__debit_card,payment_method__upi,payment_method__netbanking,payment_method__wallet,delivery_status__delivered,delivery_status__in_transit,delivery_status__failed,delivery_status__returned_to_sender,delivery_status__unknown,delivery_confirmation__signed,delivery_confirmation__otp,delivery_confirmation__photo,delivery_confirmation__none,amount_over_aov,log_amount,orders_per_month,chargeback_rate,delivered_with_confirmation,pnr_but_delivered,pnr_but_confirmed,unauth_but_known_device,new_account_high_value
0,6033.64,0,1.0,0,367.6,0,6.0,0,4.0,0,4.0,0,2.0,0,3696.95,0,6.8,0,2.1,0,0.0,0,33.1,0,3.0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1.6320588593299885,8.705271479722553,0.48966267682263326,0.5714285714285714,0,1,0,0,0
0,3661.8,0,1.0,0,76.3,0,0.0,0,0.0,0,3.0,0,0.0,0,2778.24,0,26.6,0,1.0,0,0.0,0,24.5,0,2.0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1.3180286800276435,8.205983161233577,0.0,0.0,1,1,1,0,0
0,2991.97,0,2.0,0,270.5,0,5.0,0,0.0,0,1.0,0,0.0,0,1563.65,0,5.7,1,-1.0,0,0.0,0,10.7,0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.9134524989607646,8.00402148441456,0.55452865064695,0.0,0,0,0,0,0
0,2701.59,0,2.0,0,740.7,0,26.0,0,0.0,0,0.0,0,0.0,0,2743.36,0,19.0,0,2.7,0,0.0,0,107.6,0,4.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.9847741455733116,7.901965851456535,1.0530579181855002,0.0,1,0,0,1,0
0,6408.86,0,1.0,0,874.2,0,19.0,0,1.0,0,1.0,0,0.0,0,1376.96,0,1.6,1,-1.0,0,1.0,0,22.2,0,2.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.654354520102254,8.765592708802565,0.6520247083047358,0.05,0,0,0,0,0
0,824.17,0,1.0,0,759.1,0,90.0,0,0.0,0,1.0,0,0.0,0,2440.84,0,5.4,1,-1.0,0,0.0,0,12.0,0,3.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.3376583471263991,6.715589425713171,3.556843630615202,0.0,0,0,0,0,0
0,10346.71,0,1.0,0,43.5,0,1.0,0,0.0,0,1.0,0,0.0,0,2405.66,0,19.3,1,-1.0,0,0.0,0,25.3,0,1.0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4.300986007997805,9.24452051817414,0.6896551724137931,0.0,0,0,0,1,1
0,4492.09,0,2.0,0,91.2,0,2.0,0,0.0,0,0.0,0,0.0,0,707.77,0,10.6,0,5.4,0,1.0,0,12.7,0,2.0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,6.346821707616882,8.41029594002912,0.6578947368421053,0.0,1,0,0,0,0
0,4530.16,0,1.0,0,1482.7,0,96.0,0,0.0,0,1.0,0,1.0,0,1829.14,0,13.7,0,1.0,0,0.0,0,45.1,0,2.0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2.476661163169577,8.418733256336767,1.9424023740473462,0.0,1,0,0,0,0
0,1264.26,0,1.0,0,577.5,0,41.0,0,0.0,0,0.0,0,1.0,0,1095.63,0,5.3,1,-1.0,0,0.0,0,3.0,0,2.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.1539114482078803,7.143032913639322,2.1298701298701297,0.0,0,0,0,0,0
0,4678.11,0,1.0,0,685.1,0,32.0,0,0.0,0,0.0,0,2.0,0,3304.06,0,3.6,0,4.7,0,0.0,0,121.3,0,3.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.4158671452697589,8.450863199886735,1.4012552911983653,0.0,1,0,0,0,0
0,1414.1,0,1.0,0,1524.2,0,16.0,0,0.0,0,1.0,0,0.0,0,3962.96,0,7.3,0,2.0,0,0.0,0,14.8,0,1.0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.35682923875083267,7.254955478958325,0.31491930192888073,0.0,1,0,0,0,0
0,7120.17,0,1.0,0,266.8,0,12.0,0,0.0,0,4.0,0,1.0,0,613.1,0,3.1,0,1.3,0,0.0,0,4.9,0,2.0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,11.613390963953679,8.870827316748706,1.349325337331334,0.0,1,0,0,0,0
0,7588.26,0,1.0,0,186.3,0,11.0,0,0.0,0,4.0,0,1.0,0,5016.66,0,10.6,0,4.3,0,0.0,0,5.0,0,2.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.5126119768929926,8.93448936893037,1.7713365539452497,0.0,0,0,0,1,0
0,2269.34,0,1.0,0,76.7,0,1.0,0,1.0,0,1.0,0,0.0,0,2641.21,0,14.4,0,5.3,0,0.0,0,28.9,0,2.0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.8592046827022464,7.727684878995267,0.39113428943937417,0.5,1,1,1,0,0
0,3901.46,0,1.0,0,402.1,0,9.0,0,0.0,0,2.0,0,0.0,0,2545.58,0,14.6,1,-1.0,0,0.0,0,7.1,0,4.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.5326408912703589,8.269362402497212,0.6714747575230042,0.0,0,0,0,0,0
0,10022.56,0,1.0,0,707.1,0,12.0,0,0.0,0,3.0,0,1.0,0,3370.12,0,1.1,0,3.4,0,0.0,0,6.1,0,3.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2.97394751522201,9.212693600959673,0.5091217649554518,0.0,0,1,0,0,0
0,3190.53,0,2.0,0,87.1,0,3.0,0,0.0,0,1.0,0,1.0,0,594.1,0,26.4,0,1.0,0,0.0,0,38.3,0,4.0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,5.370358525500758,8.068255704620599,1.0332950631458093,0.0,1,0,0,1,0
0,12663.24,0,1.0,0,381.3,0,6.0,0,0.0,0,1.0,0,0.0,0,1552.02,0,12.6,1,-1.0,0,1.0,0,241.5,0,3.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,8.159198979394596,9.446537552739454,0.47206923682140045,0.0,0,0,0,0,0
0,34273.3,0,1.0,0,215.0,0,9.0,0,1.0,0,0.0,0,0.0,0,1323.97,0,10.5,0,1.1,0,1.0,0,10.2,0,1.0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,25.886764805849076,10.442151081173092,1.255813953488372,0.1,1,1,1,0,0
0,6697.45,0,1.0,0,321.2,0,38.0,0,0.0,0,1.0,0,1.0,0,407.33,0,16.7,0,2.8,0,1.0,0,1.6,0,1.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,16.442319495249553,8.80963143533149,3.5491905354919053,0.0,0,0,0,0,0
0,2966.2,0,1.0,0,1454.4,0,265.0,0,1.0,0,0.0,0,1.0,0,866.49,0,7.7,1,-1.0,0,0.0,0,4.4,0,1.0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3.4232362750868446,7.995374026175381,5.466171617161716,0.0037593984962406013,0,0,0,0,0
0,4715.25,0,1.0,0,484.3,0,15.0,0,0.0,0,0.0,0,0.0,0,923.11,0,3.7,0,5.6,0,2.0,0,224.5,0,4.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5.108004463173403,8.45876927127852,0.9291761304976254,0.0,1,0,0,0,0
0,9058.97,0,1.0,0,260.4,0,18.0,0,0.0,0,2.0,0,5.0,0,2672.37,0,5.2,0,2.0,0,2.0,0,42.1,0,2.0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.389863679056418,9.111621087773264,2.0737327188940093,0.0,0,1,0,0,0
0,3406.05,0,1.0,0,174.2,0,27.0,0,0.0,0,3.0,0,1.0,0,3541.52,0,11.7,0,4.8,0,0.0,0,76.2,0,1.0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.9617480629786082,8.133602093221024,4.649827784156142,0.0,1,1,1,0,0
0,9282.52,0,2.0,0,456.7,0,9.0,0,0.0,0,0.0,0,0.0,0,1571.69,0,13.0,1,-1.0,0,0.0,0,8.6,0,1.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5.906075625600469,9.135996064205091,0.5911977227939567,0.0,0,0,0,0,0
0,1951.55,0,1.0,0,896.9,0,13.0,0,0.0,0,1.0,0,0.0,0,3205.4,0,10.8,1,-1.0,0,0.0,0,54.5,0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.608831971048855,7.5768914895805795,0.43483108484780914,0.0,0,0,0,0,0
0,733.5,0,1.0,0,183.9,0,11.0,0,0.0,0,2.0,0,2.0,0,8844.12,0,8.9,1,-1.0,0,0.0,0,9.0,0,1.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.08293645947816175,6.599189995613932,1.7944535073409462,0.0,0,0,0,0,0
0,4481.04,0,1.0,0,335.5,0,16.0,0,0.0,0,0.0,0,0.0,0,2459.44,0,2.8,1,-1.0,0,0.0,0,11.2,0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.8219757343135021,8.407833578908287,1.4307004470938898,0.0,0,0,0,0,0
0,1926.8,0,1.0,0,354.9,0,13.0,0,0.0,0,1.0,0,0.0,0,5831.41,0,1.3,1,-1.0,0,0.0,0,30.5,0,2.0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.33041751480345233,7.564134735349867,1.098901098901099,0.0,0,0,0,0,0
0,2331.07,0,3.0,0,560.7,0,11.0,0,0.0,0,0.0,0,2.0,0,1040.92,0,9.0,1,-1.0,0,0.0,0,16.5,0,1.0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2.2394324251623563,7.754511564172536,0.5885500267522739,0.0,0,0,0,0,0
0,9117.08,0,1.0,0,598.6,0,7.0,0,0.0,0,0.0,0,2.0,0,2220.19,0,5.5,1,-1.0,0,0.0,0,14.6,0,2.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4.106441340605984,9.118014534588813,0.35081857667891747,0.0,0,0,0,0,0
0,6281.4,0,2.0,0,203.2,0,8.0,0,0.0,0,5.0,0,3.0,0,5414.45,0,2.4,1,-1.0,0,0.0,0,11.9,0,1.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.1601178328362067,8.745507352060665,1.1811023622047245,0.0,0,0,0,0,0
0,12643.3,0,1.0,0,1215.6,0,6.0,0,0.0,0,0.0,0,0.0,0,1404.13,0,18.7,1,-1.0,0,2.0,0,7.0,0,4.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9.004365692635297,9.444961799722812,0.1480750246791708,0.0,0,0,0,0,0
0,7949.95,0,1.0,0,502.9,0,38.0,0,0.0,0,1.0,0,1.0,0,860.15,0,1.5,1,-1.0,0,1.0,0,4.1,0,1.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,9.24251584026042,8.981046697364542,2.2668522569099228,0.0,0,0,0,0,0
0,3028.7,0,2.0,0,161.2,0,4.0,0,1.0,0,2.0,0,0.0,0,3119.31,0,16.3,0,5.9,0,0.0,0,41.9,0,1.0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.9709519092363375,8.01621888370062,0.7444168734491315,0.2,0,0,0,1,0
0,3163.68,0,2.0,0,635.9,0,10.0,0,0.0,0,0.0,0,0.0,0,2334.98,0,15.9,0,1.0,0,0.0,0,50.4,0,2.0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1.3549066801428704,8.059807223621554,0.47177229124076114,0.0,0,0,0,1,0
0,5236.65,0,1.0,0,252.4,0,19.0,0,2.0,0,0.0,0,3.0,0,2032.54,0,19.0,0,2.1,0,0.0,0,7.8,0,2.0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2.5764068603815913,8.563628203438425,2.258320126782884,0.1,1,1,1,0,0
0,3376.55,0,2.0,0,337.1,0,20.0,0,1.0,0,3.0,0,1.0,0,4404.06,0,18.9,0,1.0,0,0.0,0,12.2,0,1.0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.7666902812404917,8.124905873573779,1.779887273805992,0.047619047619047616,1,0,0,0,0
0,9753.53,0,2.0,0,916.0,0,20.0,0,1.0,0,3.0,0,0.0,0,1287.59,0,8.8,0,3.9,0,0.0,0,30.5,0,4.0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7.575027765049435,9.185487071476201,0.6550218340611353,0.047619047619047616,1,0,0,0,0
0,1958.86,0,1.0,0,446.1,0,10.0,0,0.0,0,0.0,0,1.0,0,3845.29,0,4.4,0,5.7,0,0.0,0,24.3,0,2.0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.5094180152862333,7.580628321101992,0.6724949562878278,0.0,1,0,0,0,0
0,1795.47,0,1.0,0,948.9,0,23.0,0,0.0,0,3.0,0,0.0,0,912.95,0,2.3,1,-1.0,0,0.0,0,25.9,0,2.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.966668492250397,7.49357890727693,0.7271577616187165,0.0,0,0,0,0,0
0,1259.52,0,1.0,0,165.3,0,6.0,0,0.0,0,3.0,0,0.0,0,7062.8,0,13.4,0,1.2,0,0.0,0,15.2,0,2.0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.17833153989919012,7.139279613221655,1.0889292196007259,0.0,1,1,1,0,0
0,1857.96,0,1.0,0,1461.8,0,75.0,0,0.0,0,1.0,0,0.0,0,3235.86,0,0.6,0,1.6,0,1.0,0,25.7,0,1.0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.5741781164821717,7.527772470545357,1.539198248734437,0.0,0,0,0,0,0
0,6658.26,0,1.0,0,641.1,0,42.0,0,0.0,0,0.0,0,0.0,0,5148.64,0,10.5,0,3.2,0,0.0,0,18.7,0,2.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1.2932075266478138,8.803763646250028,1.9653720168460458,0.0,1,0,0,0,0
0,3824.87,0,1.0,0,356.3,0,11.0,0,1.0,0,1.0,0,0.0,0,2534.69,0,6.9,1,-1.0,0,1.0,0,35.1,0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1.5090089912375872,8.249541171377976,0.9261857984844232,0.08333333333333333,0,0,0,0,0
0,11889.95,0,2.0,0,952.3,0,210.0,0,0.0,0,1.0,0,0.0,0,1282.93,0,10.8,0,2.4,0,1.0,0,156.5,0,7.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9.267808843818447,9.38353288556792,6.615562322797438,0.0,0,0,0,0,0
0,36084.15,0,1.0,0,1209.9,0,19.0,0,0.0,0,0.0,0,0.0,0,1802.44,0,12.5,0,5.1,0,0.0,0,39.7,0,1.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,20.019612303322162,10.493636702349612,0.4711133151500123,0.0,1,1,1,0,0
0,26098.51,0,1.0,0,1038.4,0,29.0,0,0.0,0,0.0,0,0.0,0,2071.32,0,8.8,0,1.1,0,2.0,0,1118.5,0,2.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,12.599941100361121,10.169671819188192,0.8378274268104776,0.0,0,0,0,0,0
0,471.35,0,2.0,0,444.2,0,16.0,0,0.0,0,0.0,0,0.0,0,1282.58,0,5.9,0,4.5,0,0.0,0,35.3,0,1.0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.36750144240515215,6.157720236215144,1.080594326879784,0.0,1,0,0,0,0
0,10125.88,0,2.0,0,277.2,0,15.0,0,0.0,0,3.0,0,1.0,0,3499.72,0,6.9,0,4.3,0,0.0,0,12.2,0,2.0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2.893340038631662,9.222948553750872,1.6233766233766234,0.0,1,0,0,0,0
0,3994.2,0,1.0,0,761.7,0,49.0,0,1.0,0,1.0,0,0.0,0,2101.46,0,4.8,0,2.0,0,0.0,0,17.7,0,2.0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.900678575847268,8.29284891952551,1.9298936589208349,0.02,0,0,0,0,0
0,1124.81,0,1.0,0,717.8,0,21.0,0,0.0,0,1.0,0,0.0,0,2562.27,0,2.1,0,1.0,0,0.0,0,27.2,0,4.0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.4389896458999247,7.026258055562869,0.877681805516857,0.0,1,0,0,0,0
0,6669.26,0,1.0,0,941.9,0,69.0,0,0.0,0,1.0,0,0.0,0,2395.37,0,7.8,0,3.3,0,4.0,0,32.5,0,5.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2.7842295762241327,8.805414118659694,2.1976855292493895,0.0,0,0,0,0,0
0,12402.47,0,1.0,0,1298.0,0,37.0,0,0.0,0,0.0,0,0.0,0,5483.69,0,14.3,0,3.2,0,1.0,0,36.0,0,1.0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.261701518503052,9.425731551155257,0.8551617873651772,0.0,1,1,1,0,0
0,3194.55,0,1.0,0,587.4,0,14.0,0,1.0,0,0.0,0,3.0,0,2312.85,0,5.2,0,4.6,0,0.0,0,18.2,0,1.0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.3812179778195735,8.069514495971521,0.7150153217568949,0.06666666666666667,1,1,1,0,0
0,1718.82,0,3.0,0,972.6,0,68.0,0,0.0,0,1.0,0,2.0,0,10281.95,0,8.0,0,8.5,0,0.0,0,5.7,0,1.0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.1671686790929736,7.4499749131683926,2.097470697100555,0.0,1,0,0,0,0
0,3182.81,0,1.0,0,257.7,0,8.0,0,0.0,0,0.0,0,0.0,0,2099.68,0,1.6,1,-1.0,0,0.0,0,73.8,0,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1.5158547969214358,8.065833871816913,0.9313154831199069,0.0,0,0,0,0,0
0,2091.38,0,1.0,0,251.3,0,9.0,0,0.0,0,1.0,0,0.0,0,461.58,0,4.8,0,1.8,0,0.0,0,21.5,0,2.0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4.5309155509337495,7.646057453048939,1.0744130521289295,0.0,0,1,0,0,0
0,3124.08,0,1.0,0,198.1,0,15.0,0,0.0,0,0.0,0,0.0,0,1122.41,0,5.0,0,1.3,0,0.0,0,8.8,0,2.0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2.78336793150453,8.047215161842827,2.271580010095911,0.0,0,1,0,0,0
0,1340.67,0,2.0,0,272.0,0,33.0,0,1.0,0,3.0,0,0.0,0,1248.87,0,9.6,0,3.0,0,0.0,0,11.9,0,1.0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.073506449830647,7.201670385653517,3.639705882352941,0.029411764705882353,1,1,1,0,0
0,1514.44,0,1.0,0,37.9,0,1.0,0,0.0,0,2.0,0,0.0,0,3523.56,0,28.3,0,2.2,0,0.0,0,7.1,0,3.0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.4298039482795809,7.323461104820024,0.79155672823219,0.0,1,1,1,0,0
0,7116.71,0,1.0,0,107.4,0,3.0,0,1.0,0,1.0,0,1.0,0,1042.83,0,11.5,0,3.5,0,1.0,0,128.1,0,2.0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,6.824420087646117,8.87034132345877,0.8379888268156425,0.25,0,1,0,0,0
