case_id,customer_id,transaction_id,order_id,scenario,label_abusive,chargeback_reason,claim_description,disputed_amount,currency,payment_method,payment_status,product_category,quantity,shipping_city,billing_city,order_ts,shipped_ts,delivered_ts,claim_ts,claim_delay_days,account_age_days,previous_orders,previous_chargebacks,previous_returns,previous_failed_payments,avg_order_value,delivery_status,delivery_confirmation,has_tracking,days_to_deliver,device_seen_before,device_shared_accounts,ip_geo_distance_km,txns_last_24h,shipping_billing_match,split
CB-10037,CUST-10407-2,TXN-20037,ORD-30037,lost_package,0,product_not_received,The order shows delivered but nothing arrived at my address.,4896.38,INR,wallet,captured,books,3,Jaipur,Kolkata,2026-02-22T10:52:09,2026-02-22T22:00:19,,2026-03-06T13:05:35,6.6,1964.9,33,0,2,0,7624.09,unknown,none,0,,1,0,10.9,1,0,train
CB-10038,CUST-00760-3,TXN-20038,ORD-30038,defective_item,0,product_not_as_described,The product I received is completely different from the listing.,1183.72,INR,netbanking,captured,beauty,1,Kochi,Kochi,2026-02-12T14:15:21,2026-02-13T05:22:40,2026-02-14T22:10:40,2026-02-23T18:19:36,8.8,743.9,40,0,1,0,4789.26,delivered,photo,1,1.7,1,0,2.1,2,1,train
CB-10039,CUST-01188-4,TXN-20039,ORD-30039,lost_package,0,product_not_received,The order shows delivered but nothing arrived at my address.,3373.88,INR,debit_card,captured,toys,1,Kochi,Chennai,2026-04-01T02:18:26,2026-04-02T17:15:28,2026-04-09T22:03:28,2026-04-11T02:30:43,1.2,727.0,144,0,0,0,3943.39,delivered,none,1,7.2,1,0,45.3,2,0,train
CB-10040,CUST-04196-5,TXN-20040,ORD-30040,lost_package,0,product_not_received,I never received this package.,11465.57,INR,credit_card,captured,home,2,Hyderabad,Hyderabad,2026-05-14T01:01:43,2026-05-14T20:18:36,,2026-05-27T02:34:46,7.3,1151.0,56,0,0,1,1515.24,unknown,none,0,,1,0,24.4,3,1,train
CB-10041,CUST-00709-6,TXN-20041,ORD-30041,false_unauthorized,1,unauthorized_transaction,Unauthorized payment on my account.,12151.17,INR,debit_card,captured,sports,3,Kolkata,Kolkata,2026-02-24T21:40:11,2026-02-25T18:19:43,2026-03-04T15:55:43,2026-03-18T06:32:46,13.6,140.1,8,0,2,1,893.32,delivered,none,1,6.9,1,0,1.1,2,1,train
CB-10042,CUST-00713-0,TXN-20042,ORD-30042,defective_item,0,product_not_as_described,Product quality does not match what was advertised.,710.35,INR,upi,captured,sports,1,Kolkata,Kolkata,2026-02-05T04:35:31,2026-02-08T01:11:04,2026-02-10T13:11:04,2026-02-19T05:52:05,8.7,486.3,41,0,2,0,3376.03,delivered,none,1,2.5,1,0,73.7,2,1,train
CB-10043,CUST-02839-1,TXN-20043,ORD-30043,defective_item,0,product_not_as_described,The product I received is completely different from the listing.,3045.31,INR,credit_card,captured,beauty,1,Mumbai,Mumbai,2026-01-17T10:08:49,2026-01-19T17:09:02,2026-01-22T17:09:02,2026-01-27T21:12:10,5.2,499.1,27,0,1,0,657.89,delivered,photo,1,3.0,1,0,51.0,2,1,train
CB-10044,CUST-01021-2,TXN-20044,ORD-30044,defective_item,0,product_not_as_described,The product I received is completely different from the listing.,2285.86,INR,upi,captured,beauty,1,Hyderabad,Hyderabad,2026-02-11T06:58:43,2026-02-12T14:36:16,2026-02-16T00:12:16,2026-02-19T06:47:40,3.3,490.6,24,0,2,0,738.61,delivered,otp,1,3.4,1,0,12.5,1,1,train
CB-10045,CUST-09291-3,TXN-20045,ORD-30045,defective_item,0,product_not_as_described,Product quality does not match what was advertised.,6820.9,INR,upi,captured,fashion,1,Ahmedabad,Ahmedabad,2026-03-13T21:43:31,2026-03-16T15:53:21,2026-03-17T15:53:21,2026-03-22T23:21:35,5.3,996.0,130,0,1,1,580.76,delivered,none,1,1.0,1,0,33.6,1,1,test
CB-10046,CUST-04318-4,TXN-20046,ORD-30046,defective_item,0,product_not_as_described,Product quality does not match what was advertised.,755.37,INR,credit_card,captured,beauty,2,Pune,Pune,2026-01-06T22:58:17,2026-01-09T19:17:07,2026-01-11T12:05:07,2026-01-20T17:37:16,9.2,152.0,7,0,2,0,1704.12,delivered,photo,1,1.7,1,0,9.1,1,1,train
CB-10047,CUST-05280-5,TXN-20047,ORD-30047,opportunist_abuse,1,product_not_received,The order shows delivered but nothing arrived at my address.,3786.58,INR,upi,captured,home,1,Jaipur,Jaipur,2026-05-21T00:37:27,2026-05-23T16:42:22,2026-05-28T04:42:22,2026-06-04T04:12:12,7.0,625.9,7,0,2,0,1846.01,delivered,none,1,4.5,1,0,9.1,2,1,train
CB-10048,CUST-02845-6,TXN-20048,ORD-30048,true_fraud_victim,0,unauthorized_transaction,"This charge is not mine, my card was used without permission.",4195.07,INR,upi,captured,beauty,1,Hyderabad,Ahmedabad,2026-02-10T11:12:45,2026-02-12T17:56:09,,2026-02-24T21:22:27,7.1,473.8,17,0,2,1,3733.12,unknown,otp,1,,0,3,239.2,4,0,val
CB-10049,CUST-06321-0,TXN-20049,ORD-30049,true_fraud_victim,0,unauthorized_transaction,Unauthorized payment on my account.,1678.51,INR,wallet,captured,toys,1,Mumbai,Mumbai,2026-04-16T20:00:20,2026-04-19T19:21:09,2026-04-21T16:57:09,2026-04-29T17:25:01,8.0,988.9,11,0,0,0,1618.84,delivered,photo,1,1.9,0,2,245.1,7,1,val
CB-10050,CUST-00660-1,TXN-20050,ORD-30050,lost_package,0,product_not_received,Item was not delivered to me.,2644.14,INR,netbanking,captured,electronics,1,Bangalore,Bangalore,2026-04-29T07:58:17,2026-04-29T17:08:09,2026-05-02T17:08:09,2026-05-08T10:00:23,5.7,307.9,27,0,1,0,2330.2,delivered,none,1,3.0,0,0,1.7,2,1,train
CB-10051,CUST-07728-2,TXN-20051,ORD-30051,lost_package,0,product_not_received,The order shows delivered but nothing arrived at my address.,1951.27,INR,upi,captured,books,2,Pune,Pune,2026-05-09T01:43:51,2026-05-10T12:02:37,,2026-05-21T11:42:12,6.0,784.0,95,0,2,0,1348.48,unknown,none,0,,1,0,120.3,1,1,train
CB-10052,CUST-10314-3,TXN-20052,ORD-30052,true_fraud_victim,0,unauthorized_transaction,I did not make this transaction.,12498.3,INR,credit_card,captured,books,1,Kochi,Kochi,2026-06-20T09:30:54,2026-06-21T04:46:45,2026-06-26T23:58:45,2026-06-28T04:17:08,1.2,241.5,7,1,0,2,1157.13,delivered,none,1,5.8,0,0,685.1,7,1,train
CB-10053,CUST-02520-4,TXN-20053,ORD-30053,defective_item,0,product_not_as_described,Item arrived damaged / not as described.,3127.38,INR,debit_card,captured,beauty,1,Pune,Delhi,2026-01-29T04:07:19,2026-01-29T12:06:20,2026-01-31T07:18:20,2026-02-03T16:42:06,3.4,575.7,0,0,0,0,8108.55,delivered,otp,1,1.8,1,0,4.4,2,0,train
CB-10054,CUST-06434-5,TXN-20054,ORD-30054,friendly_fraud_pnr,1,product_not_received,I never received this package.,6429.32,INR,credit_card,captured,electronics,1,Pune,Pune,2026-06-26T14:57:25,2026-06-28T01:39:24,2026-07-01T23:15:24,2026-07-14T04:25:04,12.2,44.4,0,0,2,1,1631.23,delivered,otp,1,3.9,1,0,22.3,1,1,val
CB-10055,CUST-04263-6,TXN-20055,ORD-30055,true_fraud_victim,0,unauthorized_transaction,I did not make this transaction.,9049.28,INR,debit_card,captured,books,1,Kochi,Hyderabad,2026-02-03T07:30:15,2026-02-04T06:00:35,2026-02-08T15:36:35,2026-02-22T16:30:15,14.0,1023.4,60,0,0,1,1149.42,delivered,none,1,4.4,0,2,457.3,1,0,val
CB-10056,CUST-03276-0,TXN-20056,ORD-30056,defective_item,0,product_not_as_described,The product I received is completely different from the listing.,1177.37,INR,debit_card,captured,home,1,Jaipur,Bangalore,2026-01-20T17:24:12,2026-01-21T16:36:36,2026-01-25T07:00:36,2026-01-30T06:48:43,5.0,785.9,26,0,0,2,1310.41,delivered,none,1,3.6,1,0,47.5,1,0,test
CB-10057,CUST-10333-1,TXN-20057,ORD-30057,false_unauthorized,1,unauthorized_transaction,Unauthorized payment on my account.,12785.83,INR,debit_card,captured,books,1,Chennai,Chennai,2026-03-13T02:49:03,2026-03-15T18:42:51,,2026-04-12T14:27:39,22.8,285.2,9,2,1,2,1212.36,in_transit,none,1,,0,0,17.4,1,1,train
CB-10058,CUST-01448-2,TXN-20058,ORD-30058,true_fraud_victim,0,unauthorized_transaction,"This charge is not mine, my card was used without permission.",10012.54,INR,upi,captured,beauty,1,Chennai,Chennai,2026-06-19T13:32:08,2026-06-20T06:49:59,2026-06-23T02:01:59,2026-07-07T01:41:35,14.0,555.7,26,0,0,3,1562.33,delivered,none,1,2.8,1,2,78.5,3,1,train
CB-10059,CUST-07975-3,TXN-20059,ORD-30059,friendly_fraud_pnr,1,product_not_as_described,Item arrived damaged / not as described.,5675.67,INR,credit_card,captured,sports,1,Hyderabad,Hyderabad,2026-02-23T11:55:37,2026-02-24T17:30:56,2026-02-26T22:18:56,2026-04-03T00:25:02,35.1,325.9,13,2,1,1,2526.35,delivered,signed,1,2.2,1,0,6.0,3,1,val
CB-10060,CUST-03301-4,TXN-20060,ORD-30060,true_fraud_victim,0,unauthorized_transaction,I did not make this transaction.,8199.38,INR,wallet,captured,fashion,1,Delhi,Delhi,2026-01-18T17:35:27,2026-01-21T01:44:45,,2026-02-18T22:37:14,23.9,309.3,13,0,2,0,1089.54,in_transit,photo,1,,0,5,261.4,5,1,train
CB-10061,CUST-03516-5,TXN-20061,ORD-30061,false_unauthorized,1,unauthorized_transaction,I did not make this transaction.,8181.91,INR,wallet,captured,home,1,Ahmedabad,Ahmedabad,2026-01-06T22:24:24,2026-01-08T06:18:24,2026-01-09T20:42:24,2026-01-12T10:10:40,2.6,304.9,0,2,2,0,2520.96,delivered,none,0,1.6,1,0,34.7,1,1,test
CB-10062,CUST-06866-6,TXN-20062,ORD-30062,lost_package,0,product_not_received,Item was not delivered to me.,2292.47,INR,credit_card,captured,home,2,Delhi,Delhi,2026-03-30T12:03:23,2026-04-02T11:19:24,2026-04-04T01:43:24,2026-04-08T14:06:18,4.5,123.2,5,0,0,0,4637.31,delivered,photo,0,1.6,1,0,6.2,1,1,test
CB-10063,CUST-04119-0,TXN-20063,ORD-30063,lost_package,0,product_not_received,Item was not delivered to me.,499.42,INR,debit_card,captured,beauty,1,Hyderabad,Hyderabad,2026-01-09T19:50:12,2026-01-10T05:27:57,,2026-01-18T18:10:22,3.5,457.1,74,0,0,0,2868.92,unknown,none,1,,1,1,21.9,1,1,train
CB-10064,CUST-01839-1,TXN-20064,ORD-30064,defective_item,0,product_not_as_described,Product quality does not match what was advertised.,8332.13,INR,upi,captured,electronics,2,Bangalore,Bangalore,2026-01-23T11:45:22,2026-01-25T19:59:08,2026-01-27T03:11:08,2026-01-29T19:35:22,2.7,489.9,56,0,2,0,2506.88,delivered,none,1,1.3,1,0,83.8,1,1,test
CB-10065,CUST-03972-2,TXN-20065,ORD-30065,lost_package,0,product_not_received,I never received this package.,2819.17,INR,upi,captured,fashion,2,Bangalore,Bangalore,2026-02-19T16:41:37,2026-02-22T08:09:30,,2026-02-28T15:00:19,1.3,461.3,7,0,1,0,1466.54,unknown,none,1,,1,0,22.4,2,1,train
CB-10066,CUST-11596-3,TXN-20066,ORD-30066,lost_package,0,product_not_received,Item was not delivered to me.,19748.88,INR,netbanking,captured,sports,1,Delhi,Delhi,2026-04-21T12:25:42,2026-04-22T20:15:07,,2026-04-28T23:38:52,1.1,338.4,24,0,0,0,4418.93,returned_to_sender,none,1,,1,0,50.9,2,1,train
CB-10067,CUST-06459-4,TXN-20067,ORD-30067,opportunist_abuse,1,product_not_as_described,Item arrived damaged / not as described.,1870.52,INR,upi,captured,beauty,1,Pune,Pune,2026-06-15T07:41:35,2026-06-17T20:12:28,2026-06-20T13:00:28,2026-06-30T05:43:33,9.7,2475.7,73,0,3,0,1308.69,delivered,signed,1,2.7,1,0,11.8,2,1,train
CB-10068,CUST-01385-5,TXN-20068,ORD-30068,defective_item,0,product_not_as_described,Product quality does not match what was advertised.,2975.26,INR,debit_card,captured,sports,1,Kolkata,Kolkata,2026-03-25T12:00:47,2026-03-27T10:19:13,2026-04-01T10:19:13,2026-04-10T03:16:14,8.7,307.5,12,0,0,0,2346.92,delivered,none,1,5.0,1,0,14.4,2,1,train
CB-10069,CUST-05887-6,TXN-20069,ORD-30069,friendly_fraud_pnr,1,product_not_received,I never received this package.,5117.85,INR,credit_card,captured,beauty,1,Kolkata,Kolkata,2026-03-16T16:24:54,2026-03-18T03:54:30,2026-03-24T11:06:30,2026-04-11T19:04:26,18.3,244.1,11,2,1,1,3221.73,delivered,otp,1,6.3,1,1,70.4,2,1,train
CB-10070,CUST-03442-0,TXN-20070,ORD-30070,lost_package,0,product_not_received,Item was not delivered to me.,4909.64,INR,credit_card,captured,books,2,Kolkata,Kolkata,2026-02-06T10:12:48,2026-02-08T18:05:03,,2026-02-22T12:59:45,8.8,163.4,7,1,2,0,562.99,failed,none,1,,1,1,25.0,1,1,val
CB-10071,CUST-09407-1,TXN-20071,ORD-30071,lost_package,0,product_not_received,Item was not delivered to me.,3057.46,INR,upi,captured,electronics,3,Jaipur,Jaipur,2026-03-27T12:29:33,2026-03-29T02:57:31,,2026-04-04T21:13:51,1.8,318.2,21,1,1,0,5366.45,in_transit,none,1,,1,1,40.8,2,1,test
CB-10072,CUST-11538-2,TXN-20072,ORD-30072,lost_package,0,product_not_received,I never received this package.,5794.41,INR,debit_card,captured,beauty,1,Chennai,Chennai,2026-02-14T18:08:25,2026-02-15T08:18:53,,2026-02-24T13:48:29,4.2,496.3,48,1,3,1,1720.26,unknown,none,1,,1,1,80.8,2,1,val
